PT_CODE_1,CUI_1,TERM_1,TTY_1,PT_CODE_2,CUI_2,TERM_2,TTY_2,INTRINSIC_LCH,LCH,WUPALMER,WUPALMER_PERL,SOKAL,INTRINSIC_LIN,INTRINSIC_RESNIK,NATURE_NORM,MAX_METRIC,AUTOLIST,SMQ_CODE,HLT,HLGT,IN_SNOMED,INCLUDE,POSCTRL
10042945,C0024141,Systemic lupus erythematosus,PT,10062641,C0015786,Female sexual arousal disorder,PT,0.405818,3.178054,0.846154,0.52381,0.119566,0.352001,6.297072,0.805708,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10080631,C0342288,IPEX syndrome,PT,0.337772,3.178054,0.5,0.071429,0.098615,0.304404,5.4456,0.696762,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10080352,C3696979,Enthesophyte,PT,0.736731,3.178054,0.888889,0.695652,0.228617,0.542437,9.703863,1.241605,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10069568,C2721670,Ultrafiltration failure,PT,0.736731,3.178054,0.888889,0.695652,0.228617,0.542437,9.703863,1.241605,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10069596,C0220748,Cartilage-hair hypoplasia,PT,0.73721,3.178054,0.888889,0.627451,0.228707,0.542564,9.703863,1.241668,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10018767,C0018378,Guillain-Barre syndrome,PT,1.406352,3.178054,0.916667,0.88,0.468024,0.778719,13.886996,1.778059,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10014989,C0014527,Epidermolysis bullosa,PT,0.760409,3.178054,0.888889,0.64,0.233081,0.548671,9.703863,1.244722,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10040767,C1527336,Sjogren's syndrome,PT,2.057485,3.465736,0.918919,0.708333,0.687902,0.89813,16.032373,2.052302,0,0,0,0,1,1,0,1
10042945,C0024141,Systemic lupus erythematosus,PT,10042033,C0038325,Stevens-Johnson syndrome,PT,1.39578,2.95491,0.897959,0.830189,0.465062,0.776661,13.886996,1.77703,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10014971,C0014488,Epicondylitis,PT,0.738345,3.178054,0.888889,0.680851,0.22892,0.542863,9.703863,1.241818,0,0,0,0,0,1,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10025129,C0858822,Lupoid hepatic cirrhosis,PT,2.473951,3.465736,0.938776,0.938776,0.803823,0.942495,16.860639,2.157311,0,0,0,0,0,0,0,0
10042945,C0024141,Systemic lupus erythematosus,PT,10015218,C0014742,Erythema multiforme,PT,1.419632,3.178054,0.916667,0.897959,0.471755,0.781289,13.886996,1.779344,0,0,0,0,0,1,0,0
