PT_CODE_1,CUI_1,TERM_1,TTY_1,PT_CODE_2,CUI_2,TERM_2,TTY_2,INTRINSIC_LCH,LCH,WUPALMER,WUPALMER_PERL,SOKAL,INTRINSIC_LIN,INTRINSIC_RESNIK,NATURE_NORM,MAX_METRIC,AUTOLIST,SMQ_CODE,HLT,HLGT,IN_SNOMED,INCLUDE,POSCTRL
10012305,C0011304,Demyelination,PT,10000317,C0541754,Abscess sterile,PT,0.314999,2.95491,0.666667,0.222222,0.095099,0.29596,5.356374,0.683617,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10019895,C0029125,Hereditary optic atrophy,PT,0.600313,2.772589,0.8125,0.684211,0.182746,0.472139,8.456901,1.08176,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10018767,C0018378,Guillain-Barre syndrome,PT,0.587322,2.772589,0.8125,0.619048,0.180713,0.468733,8.456901,1.080057,0,0,1,0,0,1,1,1
10012305,C0011304,Demyelination,PT,10062936,C0032044,Placenta accreta,PT,0.315885,2.95491,0.666667,0.212766,0.095179,0.296152,5.356374,0.683713,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10063044,C0238207,Ectopic kidney,PT,0.317821,2.95491,0.666667,0.232558,0.095352,0.296572,5.356374,0.683923,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10049206,C0343243,Muscle abscess,PT,0.322825,2.95491,0.666667,0.222222,0.095802,0.297658,5.356374,0.684466,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10048676,C0037231,Sjogren-Larsson syndrome,PT,0.582844,2.772589,0.8125,0.590909,0.180016,0.46756,8.456901,1.07947,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10014970,C0016689,Ephelides,PT,0.766844,2.772589,0.666667,0.292683,0.242836,0.561955,10.170433,1.298021,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10062942,C0338502,Optic nerve hypoplasia,PT,0.584964,2.772589,0.8125,0.619048,0.180346,0.468115,8.456901,1.079748,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10051592,C0948089,Acute coronary syndrome,PT,0.766844,2.95491,0.705882,0.285714,0.242836,0.561955,10.170433,1.298021,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10008570,C0025218,Chloasma,PT,0.777502,2.772589,0.666667,0.285714,0.244926,0.564744,10.170433,1.299415,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10069681,C1865384,Monomelic amyotrophy,PT,0.581761,2.772589,0.8125,0.702703,0.179848,0.467276,8.456901,1.079328,0,0,0,0,0,0,0,0
10012305,C0011304,Demyelination,PT,10069382,C0393814,Hereditary neuropathy with liability to pressure palsies,PT,0.581761,2.772589,0.8125,0.702703,0.179848,0.467276,8.456901,1.079328,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10080898,C0751792,Nervous system injury,PT,0.949043,2.95491,0.83871,0.8125,0.24475,0.564509,8.456901,1.127945,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10053235,C0342500,Adrenal mass,PT,0.347839,2.95491,0.666667,0.263158,0.098079,0.303125,5.356374,0.6872,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10052032,C0242292,Albright's disease,PT,0.766844,2.772589,0.666667,0.266667,0.242836,0.561955,10.170433,1.298021,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10052134,C1271398,Pigment dispersion syndrome,PT,0.316603,2.95491,0.666667,0.277778,0.095243,0.296308,5.356374,0.683791,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10069419,C0266270,Pancreas divisum,PT,0.315923,2.95491,0.666667,0.25,0.095182,0.29616,5.356374,0.683717,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10025016,C0154735,Lumbosacral plexus lesion,PT,0.659437,2.772589,0.8125,0.702703,0.192243,0.4877,8.456901,1.08954,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10069350,C2721559,Osmotic demyelination syndrome,PT,2.544707,3.465736,0.909091,0.769231,0.822856,0.948929,17.173994,2.191864,0,0,1,1,1,1,1,1
10012305,C0011304,Demyelination,PT,10057041,C0392777,Poikiloderma,PT,0.789848,3.178054,0.75,0.307692,0.247364,0.56797,10.170433,1.301028,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10027259,C0041318,Meningitis tuberculous,PT,0.586142,2.772589,0.8125,0.553191,0.180529,0.468424,8.456901,1.079902,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10030943,C0152962,Optic neuritis meningococcal,PT,0.582319,2.772589,0.8125,0.65,0.179935,0.467422,8.456901,1.079401,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10069649,C0271174,Atopic cataract,PT,0.766844,2.95491,0.705882,0.292683,0.242836,0.561955,10.170433,1.298021,0,0,0,0,0,1,0,0
10012305,C0011304,Demyelination,PT,10069432,C0393639,Hashimoto's encephalopathy,PT,0.581761,2.772589,0.8125,0.619048,0.179848,0.467276,8.456901,1.079328,0,0,0,0,0,1,1,0
